0.005,85.6
0.01,45.3
0.015,42.8
0.02,43.5
0.025,46.4
0.03,43.6
0.035,44.9
0.04,44.3
0.045,42.1
0.05,42.2
0.055,42.5
0.06,41.1
0.065,42.8
0.07,42.6
0.075,42.7
0.08,45.5
0.085,44.7
0.09,102.8
0.095,127.1
0.1,108.0
0.105,90.2
0.11,107.0
0.115,104.0
0.12,108.6
0.125,103.2
0.13,44.3
0.135,42.3
0.14,42.0
0.145,42.3
0.15,42.2
0.155,41.8
0.16,42.4
0.165,42.9
0.17,42.1
0.175,42.3
0.18,47.0
0.185,52.4
0.19,52.6
0.195,52.4
0.2,52.3
0.205,52.2
0.21,52.3
0.215,53.8
0.22,53.1
0.225,52.1
0.23,52.1
0.235,52.1
0.24,51.6
0.245,51.6
0.25,51.5
